order_id,quantity,month,day,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
15,1,Jan,Thu,13,12.0,12.0,S,Classic,The Big Meat Pizza
15,1,Jan,Thu,13,18.5,18.5,L,Veggie,The Five Cheese Pizza
15,1,Jan,Thu,13,20.75,20.75,L,Supreme,The Soppressata Pizza
15,1,Jan,Thu,13,12.0,12.0,S,Classic,The Greek Pizza
16,1,Jan,Thu,13,17.95,17.95,L,Veggie,The Four Cheese Pizza
16,1,Jan,Thu,13,12.0,12.0,S,Classic,The Napolitana Pizza
16,1,Jan,Thu,13,20.75,20.75,L,Chicken,The Thai Chicken Pizza
17,1,Jan,Thu,13,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
17,1,Jan,Thu,13,16.25,16.25,M,Supreme,The Calabrese Pizza
17,1,Jan,Thu,13,18.5,18.5,L,Veggie,The Five Cheese Pizza
17,1,Jan,Thu,13,14.75,14.75,M,Veggie,The Four Cheese Pizza
17,1,Jan,Thu,13,16.5,16.5,M,Supreme,The Italian Supreme Pizza
17,1,Jan,Thu,13,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
17,2,Jan,Thu,13,16.0,32.0,M,Veggie,The Mediterranean Pizza
17,1,Jan,Thu,13,20.25,20.25,L,Veggie,The Mexicana Pizza
17,1,Jan,Thu,13,12.5,12.5,S,Supreme,The Pepper Salami Pizza
17,1,Jan,Thu,13,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
18,1,Jan,Thu,13,20.5,20.5,L,Classic,The Napolitana Pizza
19,1,Jan,Thu,13,20.5,20.5,L,Classic,The Italian Capocollo Pizza
19,1,Jan,Thu,13,20.25,20.25,L,Supreme,The Sicilian Pizza
20,1,Jan,Thu,14,12.0,12.0,S,Classic,The Big Meat Pizza
20,1,Jan,Thu,14,18.5,18.5,L,Veggie,The Five Cheese Pizza
21,1,Jan,Thu,14,20.5,20.5,L,Classic,The Italian Capocollo Pizza
22,1,Jan,Thu,14,18.5,18.5,L,Veggie,The Five Cheese Pizza
22,1,Jan,Thu,14,16.0,16.0,M,Classic,The Italian Capocollo Pizza
22,1,Jan,Thu,14,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
23,1,Jan,Thu,14,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
24,1,Jan,Thu,14,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
24,1,Jan,Thu,14,16.0,16.0,M,Classic,The Italian Capocollo Pizza
24,1,Jan,Thu,14,12.5,12.5,M,Classic,The Pepperoni Pizza
24,1,Jan,Thu,14,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
25,1,Jan,Thu,14,16.25,16.25,M,Supreme,The Sicilian Pizza
25,1,Jan,Thu,14,20.75,20.75,L,Chicken,The Thai Chicken Pizza
26,1,Jan,Thu,14,12.0,12.0,S,Classic,The Classic Deluxe Pizza
26,1,Jan,Thu,14,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
27,1,Jan,Thu,15,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
27,1,Jan,Thu,15,16.0,16.0,M,Classic,The Classic Deluxe Pizza
27,1,Jan,Thu,15,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
28,1,Jan,Thu,15,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza
29,1,Jan,Thu,15,12.0,12.0,S,Veggie,The Green Garden Pizza
30,1,Jan,Thu,15,20.75,20.75,L,Chicken,The Thai Chicken Pizza
31,1,Jan,Thu,15,16.0,16.0,M,Veggie,The Mexicana Pizza
31,1,Jan,Thu,15,9.75,9.75,S,Classic,The Pepperoni Pizza
32,1,Jan,Thu,15,12.0,12.0,S,Classic,The Big Meat Pizza
32,1,Jan,Thu,15,20.25,20.25,L,Veggie,The Green Garden Pizza
32,1,Jan,Thu,15,20.5,20.5,L,Classic,The Italian Capocollo Pizza
32,1,Jan,Thu,15,16.5,16.5,M,Supreme,The Italian Supreme Pizza
33,1,Jan,Thu,15,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
33,1,Jan,Thu,15,12.0,12.0,S,Veggie,The Green Garden Pizza
34,1,Jan,Thu,16,12.0,12.0,S,Classic,The Greek Pizza
35,1,Jan,Thu,16,16.0,16.0,M,Veggie,The Green Garden Pizza
35,1,Jan,Thu,16,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
35,1,Jan,Thu,16,12.5,12.5,M,Classic,The Pepperoni Pizza
35,1,Jan,Thu,16,20.75,20.75,L,Chicken,The Thai Chicken Pizza
36,1,Jan,Thu,16,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
36,1,Jan,Thu,16,16.0,16.0,M,Classic,The Classic Deluxe Pizza
37,1,Jan,Thu,16,20.75,20.75,L,Supreme,The Italian Supreme Pizza
37,1,Jan,Thu,16,20.25,20.25,L,Veggie,The Mexicana Pizza
38,1,Jan,Thu,17,10.5,10.5,S,Classic,The Hawaiian Pizza
38,1,Jan,Thu,17,20.5,20.5,L,Classic,The Italian Capocollo Pizza
39,1,Jan,Thu,17,20.75,20.75,L,Supreme,The Italian Supreme Pizza
40,1,Jan,Thu,17,17.95,17.95,L,Veggie,The Four Cheese Pizza
40,1,Jan,Thu,17,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
41,1,Jan,Thu,17,14.75,14.75,M,Veggie,The Four Cheese Pizza
41,1,Jan,Thu,17,12.0,12.0,S,Veggie,The Green Garden Pizza
42,1,Jan,Thu,17,12.0,12.0,S,Classic,The Big Meat Pizza
42,1,Jan,Thu,17,18.5,18.5,L,Veggie,The Five Cheese Pizza
42,1,Jan,Thu,17,20.25,20.25,L,Veggie,The Mexicana Pizza
42,1,Jan,Thu,17,16.5,16.5,M,Supreme,The Pepper Salami Pizza
43,1,Jan,Thu,17,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
43,1,Jan,Thu,17,16.5,16.5,M,Supreme,The Italian Supreme Pizza
43,1,Jan,Thu,17,20.75,20.75,L,Supreme,The Pepper Salami Pizza
44,1,Jan,Thu,17,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
45,1,Jan,Thu,17,17.95,17.95,L,Veggie,The Four Cheese Pizza
45,1,Jan,Thu,17,10.5,10.5,S,Classic,The Hawaiian Pizza
45,1,Jan,Thu,17,16.75,16.75,M,Chicken,The Thai Chicken Pizza
46,1,Jan,Thu,18,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
46,1,Jan,Thu,18,20.5,20.5,L,Classic,The Classic Deluxe Pizza
46,1,Jan,Thu,18,16.75,16.75,M,Chicken,The Thai Chicken Pizza
47,1,Jan,Thu,18,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
47,1,Jan,Thu,18,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
48,1,Jan,Thu,18,16.75,16.75,M,Chicken,The Chicken Pesto Pizza
48,1,Jan,Thu,18,12.0,12.0,S,Veggie,The Green Garden Pizza
48,1,Jan,Thu,18,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
48,1,Jan,Thu,18,20.75,20.75,L,Supreme,The Spicy Italian Pizza
49,1,Jan,Thu,18,20.25,20.25,L,Supreme,The Sicilian Pizza
50,1,Jan,Thu,18,25.5,25.5,XL,Classic,The Greek Pizza
51,1,Jan,Thu,18,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
51,1,Jan,Thu,18,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
52,1,Jan,Thu,18,16.5,16.5,L,Classic,The Hawaiian Pizza
52,1,Jan,Thu,18,20.25,20.25,L,Veggie,The Mexicana Pizza
52,1,Jan,Thu,18,20.75,20.75,L,Supreme,The Spicy Italian Pizza
53,1,Jan,Thu,18,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
53,1,Jan,Thu,18,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
54,1,Jan,Thu,19,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
54,1,Jan,Thu,19,20.75,20.75,L,Chicken,The Thai Chicken Pizza
55,1,Jan,Thu,19,12.5,12.5,S,Supreme,The Pepper Salami Pizza
55,1,Jan,Thu,19,20.75,20.75,L,Supreme,The Spicy Italian Pizza
56,1,Jan,Thu,19,16.0,16.0,M,Classic,The Classic Deluxe Pizza
56,1,Jan,Thu,19,20.25,20.25,L,Veggie,The Mediterranean Pizza
56,1,Jan,Thu,19,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
57,1,Jan,Thu,19,16.0,16.0,M,Classic,The Classic Deluxe Pizza
58,1,Jan,Thu,19,18.5,18.5,L,Veggie,The Five Cheese Pizza
58,1,Jan,Thu,19,12.5,12.5,M,Classic,The Pepperoni Pizza
59,1,Jan,Thu,19,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
59,1,Jan,Thu,19,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
59,1,Jan,Thu,19,15.25,15.25,L,Classic,The Pepperoni Pizza
60,1,Jan,Thu,20,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
60,1,Jan,Thu,20,14.75,14.75,M,Veggie,The Four Cheese Pizza
61,1,Jan,Thu,20,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
61,1,Jan,Thu,20,20.75,20.75,L,Supreme,The Italian Supreme Pizza
62,1,Jan,Thu,20,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
62,1,Jan,Thu,20,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
63,1,Jan,Thu,20,14.5,14.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
64,1,Jan,Thu,20,12.0,12.0,S,Classic,The Big Meat Pizza
65,1,Jan,Thu,21,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
65,1,Jan,Thu,21,12.25,12.25,S,Supreme,The Sicilian Pizza
65,1,Jan,Thu,21,12.5,12.5,S,Supreme,The Spicy Italian Pizza
65,1,Jan,Thu,21,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
66,1,Jan,Thu,21,16.0,16.0,M,Classic,The Classic Deluxe Pizza
66,1,Jan,Thu,21,16.0,16.0,M,Classic,The Italian Capocollo Pizza
67,1,Jan,Thu,22,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
68,1,Jan,Thu,22,16.0,16.0,M,Classic,The Classic Deluxe Pizza
68,1,Jan,Thu,22,20.75,20.75,L,Supreme,The Italian Supreme Pizza
68,1,Jan,Thu,22,16.5,16.5,M,Supreme,The Italian Supreme Pizza
69,1,Jan,Thu,22,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
70,1,Jan,Fri,11,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
70,1,Jan,Fri,11,20.75,20.75,L,Supreme,The Soppressata Pizza
71,1,Jan,Fri,11,20.75,20.75,L,Chicken,The Thai Chicken Pizza
72,1,Jan,Fri,11,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
73,1,Jan,Fri,11,12.75,12.75,S,Chicken,The Thai Chicken Pizza
74,1,Jan,Fri,12,18.5,18.5,L,Veggie,The Five Cheese Pizza
74,1,Jan,Fri,12,20.25,20.25,L,Veggie,The Mexicana Pizza
74,1,Jan,Fri,12,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
74,1,Jan,Fri,12,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
75,1,Jan,Fri,12,12.5,12.5,S,Supreme,The Italian Supreme Pizza
75,1,Jan,Fri,12,20.25,20.25,L,Veggie,The Mediterranean Pizza
75,1,Jan,Fri,12,20.5,20.5,L,Classic,The Napolitana Pizza
76,1,Jan,Fri,12,12.0,12.0,S,Classic,The Big Meat Pizza
76,1,Jan,Fri,12,16.5,16.5,L,Classic,The Hawaiian Pizza
76,1,Jan,Fri,12,21.0,21.0,L,Veggie,The Italian Vegetables Pizza
76,1,Jan,Fri,12,20.75,20.75,L,Supreme,The Spicy Italian Pizza
77,1,Jan,Fri,12,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
77,1,Jan,Fri,12,13.25,13.25,M,Classic,The Hawaiian Pizza
78,1,Jan,Fri,12,12.0,12.0,S,Classic,The Big Meat Pizza
78,1,Jan,Fri,12,12.0,12.0,S,Classic,The Classic Deluxe Pizza
78,1,Jan,Fri,12,17.95,17.95,L,Veggie,The Four Cheese Pizza
78,1,Jan,Fri,12,16.0,16.0,M,Classic,The Italian Capocollo Pizza
78,3,Jan,Fri,12,20.75,62.25,L,Supreme,The Spicy Italian Pizza
78,1,Jan,Fri,12,12.75,12.75,S,Chicken,The Thai Chicken Pizza
79,1,Jan,Fri,12,20.5,20.5,L,Classic,The Italian Capocollo Pizza
79,1,Jan,Fri,12,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
79,1,Jan,Fri,12,20.75,20.75,L,Chicken,The Thai Chicken Pizza
80,1,Jan,Fri,12,9.75,9.75,S,Classic,The Pepperoni Pizza
80,1,Jan,Fri,12,16.75,16.75,M,Chicken,The Thai Chicken Pizza
81,1,Jan,Fri,12,20.75,20.75,L,Chicken,The Thai Chicken Pizza
82,1,Jan,Fri,12,12.0,12.0,S,Classic,The Big Meat Pizza
82,1,Jan,Fri,12,16.75,16.75,M,Chicken,The California Chicken Pizza
82,1,Jan,Fri,12,20.75,20.75,L,Supreme,The Spicy Italian Pizza
82,1,Jan,Fri,12,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
83,1,Jan,Fri,12,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
84,1,Jan,Fri,13,15.25,15.25,L,Classic,The Pepperoni Pizza
85,1,Jan,Fri,13,16.0,16.0,M,Classic,The Classic Deluxe Pizza
85,1,Jan,Fri,13,12.0,12.0,S,Classic,The Classic Deluxe Pizza
85,1,Jan,Fri,13,20.75,20.75,L,Supreme,The Italian Supreme Pizza
85,1,Jan,Fri,13,16.0,16.0,M,Classic,The Greek Pizza
86,1,Jan,Fri,13,16.5,16.5,L,Classic,The Hawaiian Pizza
87,1,Jan,Fri,14,16.0,16.0,M,Classic,The Italian Capocollo Pizza
87,1,Jan,Fri,14,16.0,16.0,M,Veggie,The Mexicana Pizza
87,1,Jan,Fri,14,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
87,1,Jan,Fri,14,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
88,1,Jan,Fri,14,18.5,18.5,L,Veggie,The Five Cheese Pizza
89,1,Jan,Fri,14,20.75,20.75,L,Supreme,The Soppressata Pizza
89,1,Jan,Fri,14,20.75,20.75,L,Chicken,The Thai Chicken Pizza
90,1,Jan,Fri,15,20.25,20.25,L,Supreme,The Sicilian Pizza
90,1,Jan,Fri,15,12.75,12.75,S,Chicken,The Thai Chicken Pizza
91,2,Jan,Fri,15,20.75,41.5,L,Chicken,The Barbecue Chicken Pizza
91,1,Jan,Fri,15,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
91,1,Jan,Fri,15,9.75,9.75,S,Classic,The Pepperoni Pizza
92,1,Jan,Fri,15,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
92,1,Jan,Fri,15,20.75,20.75,L,Supreme,The Italian Supreme Pizza
92,1,Jan,Fri,15,16.5,16.5,M,Supreme,The Italian Supreme Pizza
92,1,Jan,Fri,15,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
92,1,Jan,Fri,15,12.5,12.5,M,Classic,The Pepperoni Pizza
92,1,Jan,Fri,15,16.5,16.5,M,Supreme,The Pepper Salami Pizza
92,1,Jan,Fri,15,12.0,12.0,S,Veggie,The Spinach and Feta Pizza
92,1,Jan,Fri,15,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
92,2,Jan,Fri,15,16.0,32.0,M,Classic,The Greek Pizza
93,1,Jan,Fri,15,16.25,16.25,M,Supreme,The Sicilian Pizza
94,1,Jan,Fri,16,16.0,16.0,M,Classic,The Italian Capocollo Pizza
94,1,Jan,Fri,16,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
95,1,Jan,Fri,16,12.0,12.0,S,Classic,The Napolitana Pizza
95,1,Jan,Fri,16,20.75,20.75,L,Supreme,The Pepper Salami Pizza
96,1,Jan,Fri,16,12.0,12.0,S,Classic,The Napolitana Pizza
97,1,Jan,Fri,16,12.0,12.0,S,Classic,The Big Meat Pizza
98,1,Jan,Fri,17,20.5,20.5,L,Classic,The Classic Deluxe Pizza
98,1,Jan,Fri,17,20.5,20.5,L,Classic,The Napolitana Pizza
99,1,Jan,Fri,17,20.75,20.75,L,Supreme,The Italian Supreme Pizza
100,1,Jan,Fri,17,16.5,16.5,L,Classic,The Hawaiian Pizza
101,1,Jan,Fri,17,20.75,20.75,L,Chicken,The California Chicken Pizza
101,1,Jan,Fri,17,15.25,15.25,L,Classic,The Pepperoni Pizza
101,1,Jan,Fri,17,20.75,20.75,L,Supreme,The Soppressata Pizza
101,1,Jan,Fri,17,16.5,16.5,M,Supreme,The Spicy Italian Pizza
102,1,Jan,Fri,17,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
102,1,Jan,Fri,17,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
103,1,Jan,Fri,18,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
104,1,Jan,Fri,18,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
104,1,Jan,Fri,18,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
104,1,Jan,Fri,18,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
104,1,Jan,Fri,18,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
105,2,Jan,Fri,18,10.5,21.0,S,Classic,The Hawaiian Pizza
105,1,Jan,Fri,18,15.25,15.25,L,Classic,The Pepperoni Pizza
105,1,Jan,Fri,18,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
106,1,Jan,Fri,18,20.25,20.25,L,Veggie,The Mexicana Pizza
106,1,Jan,Fri,18,20.75,20.75,L,Supreme,The Spicy Italian Pizza
107,1,Jan,Fri,18,20.75,20.75,L,Chicken,The California Chicken Pizza
107,1,Jan,Fri,18,16.5,16.5,M,Supreme,The Italian Supreme Pizza
107,1,Jan,Fri,18,20.75,20.75,L,Supreme,The Spicy Italian Pizza
107,1,Jan,Fri,18,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
108,1,Jan,Fri,18,20.5,20.5,L,Classic,The Classic Deluxe Pizza
108,1,Jan,Fri,18,16.5,16.5,L,Classic,The Hawaiian Pizza
108,1,Jan,Fri,18,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
109,1,Jan,Fri,18,20.5,20.5,L,Classic,The Italian Capocollo Pizza
109,1,Jan,Fri,18,20.75,20.75,L,Supreme,The Italian Supreme Pizza
109,1,Jan,Fri,18,12.5,12.5,M,Classic,The Pepperoni Pizza
109,1,Jan,Fri,18,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
110,1,Jan,Fri,18,12.0,12.0,S,Classic,The Big Meat Pizza
110,1,Jan,Fri,18,20.5,20.5,L,Classic,The Napolitana Pizza
110,1,Jan,Fri,18,20.75,20.75,L,Supreme,The Soppressata Pizza
110,1,Jan,Fri,18,12.5,12.5,S,Supreme,The Spicy Italian Pizza
111,1,Jan,Fri,18,16.75,16.75,M,Chicken,The California Chicken Pizza
111,1,Jan,Fri,18,18.5,18.5,L,Veggie,The Five Cheese Pizza
111,1,Jan,Fri,18,12.5,12.5,M,Classic,The Pepperoni Pizza
111,1,Jan,Fri,18,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
112,1,Jan,Fri,18,9.75,9.75,S,Classic,The Pepperoni Pizza
113,1,Jan,Fri,18,20.75,20.75,L,Chicken,The California Chicken Pizza
113,1,Jan,Fri,18,20.25,20.25,L,Veggie,The Mexicana Pizza
113,1,Jan,Fri,18,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
114,1,Jan,Fri,18,15.25,15.25,L,Classic,The Pepperoni Pizza
114,1,Jan,Fri,18,12.25,12.25,S,Supreme,The Sicilian Pizza
115,1,Jan,Fri,19,12.0,12.0,S,Classic,The Big Meat Pizza
115,1,Jan,Fri,19,20.5,20.5,L,Classic,The Napolitana Pizza
115,1,Jan,Fri,19,16.75,16.75,M,Chicken,The Thai Chicken Pizza
116,1,Jan,Fri,19,18.5,18.5,L,Veggie,The Five Cheese Pizza
117,1,Jan,Fri,19,16.5,16.5,M,Supreme,The Pepper Salami Pizza
117,1,Jan,Fri,19,20.25,20.25,L,Supreme,The Sicilian Pizza
118,1,Jan,Fri,19,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
118,1,Jan,Fri,19,12.0,12.0,S,Veggie,The Spinach and Feta Pizza
119,1,Jan,Fri,19,14.75,14.75,M,Veggie,The Four Cheese Pizza
120,1,Jan,Fri,19,12.0,12.0,S,Classic,The Classic Deluxe Pizza
120,1,Jan,Fri,19,10.5,10.5,S,Classic,The Hawaiian Pizza
120,1,Jan,Fri,19,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
121,1,Jan,Fri,19,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
121,1,Jan,Fri,19,17.95,17.95,L,Veggie,The Four Cheese Pizza
121,1,Jan,Fri,19,20.25,20.25,L,Supreme,The Sicilian Pizza
121,1,Jan,Fri,19,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
122,1,Jan,Fri,19,16.5,16.5,M,Supreme,The Italian Supreme Pizza
123,1,Jan,Fri,20,12.0,12.0,S,Classic,The Italian Capocollo Pizza
124,1,Jan,Fri,20,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
124,1,Jan,Fri,20,20.25,20.25,L,Supreme,The Sicilian Pizza
124,1,Jan,Fri,20,20.75,20.75,L,Supreme,The Spicy Italian Pizza
124,1,Jan,Fri,20,12.0,12.0,S,Classic,The Greek Pizza
125,1,Jan,Fri,20,25.5,25.5,XL,Classic,The Greek Pizza
126,1,Jan,Fri,20,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
127,1,Jan,Fri,20,12.5,12.5,M,Classic,The Pepperoni Pizza
128,1,Jan,Fri,21,12.5,12.5,S,Supreme,The Spicy Italian Pizza
129,1,Jan,Fri,21,12.0,12.0,S,Classic,The Big Meat Pizza
129,1,Jan,Fri,21,16.0,16.0,M,Classic,The Greek Pizza
130,1,Jan,Fri,21,10.5,10.5,S,Classic,The Hawaiian Pizza
130,1,Jan,Fri,21,20.5,20.5,L,Classic,The Italian Capocollo Pizza
130,1,Jan,Fri,21,16.0,16.0,M,Veggie,The Mexicana Pizza
130,1,Jan,Fri,21,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
131,1,Jan,Fri,21,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
131,1,Jan,Fri,21,18.5,18.5,L,Veggie,The Five Cheese Pizza
131,1,Jan,Fri,21,12.0,12.0,S,Veggie,The Green Garden Pizza
131,1,Jan,Fri,21,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
132,1,Jan,Fri,21,9.75,9.75,S,Classic,The Pepperoni Pizza
133,1,Jan,Fri,22,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
133,1,Jan,Fri,22,16.5,16.5,L,Classic,The Hawaiian Pizza
133,1,Jan,Fri,22,12.0,12.0,S,Classic,The Greek Pizza
134,1,Jan,Fri,22,12.0,12.0,S,Classic,The Big Meat Pizza
134,1,Jan,Fri,22,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
134,1,Jan,Fri,22,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
135,1,Jan,Fri,22,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
136,1,Jan,Fri,22,18.5,18.5,L,Veggie,The Five Cheese Pizza
136,1,Jan,Fri,22,12.5,12.5,S,Supreme,The Pepper Salami Pizza
137,1,Jan,Sat,11,20.25,20.25,L,Veggie,The Mediterranean Pizza
137,1,Jan,Sat,11,9.75,9.75,S,Classic,The Pepperoni Pizza
137,1,Jan,Sat,11,16.5,16.5,M,Supreme,The Spicy Italian Pizza
138,1,Jan,Sat,11,16.75,16.75,M,Chicken,The California Chicken Pizza
138,1,Jan,Sat,11,17.95,17.95,L,Veggie,The Four Cheese Pizza
138,1,Jan,Sat,11,21.0,21.0,L,Veggie,The Italian Vegetables Pizza
138,1,Jan,Sat,11,16.25,16.25,M,Supreme,The Sicilian Pizza
139,1,Jan,Sat,11,18.5,18.5,L,Veggie,The Five Cheese Pizza
140,1,Jan,Sat,12,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
140,1,Jan,Sat,12,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
141,1,Jan,Sat,13,16.0,16.0,M,Classic,The Classic Deluxe Pizza
